Date,Open,High,Low,Close,Adj Close,Volume
8/4/2014,24.092501,24.145,23.7925,23.897499,21.499468,159832000
8/5/2014,23.84,23.92,23.59,23.780001,21.393761,223732000
8/6/2014,23.6875,23.870001,23.6775,23.74,21.357773,154232000
8/7/2014,23.7325,23.987499,23.525,23.620001,21.355511,186844000
8/8/2014,23.565001,23.705,23.32,23.684999,21.414276,167460000
8/11/2014,23.817499,24.02,23.709999,23.997499,21.696821,146340000
8/12/2014,24.01,24.219999,23.9025,23.9925,21.692297,135180000
8/13/2014,24.0375,24.309999,24.01,24.309999,21.979355,127664000
8/14/2014,24.3325,24.3925,24.200001,24.375,22.038126,112464000
8/15/2014,24.475,24.547501,24.215,24.495001,22.146624,195804000
8/18/2014,24.622499,24.842501,24.495001,24.790001,22.413343,190288000
8/19/2014,24.852501,25.17,24.83,25.1325,22.723003,277596000
8/20/2014,25.110001,25.272499,24.987499,25.1425,22.732048,210796000
8/21/2014,25.1425,25.235001,25.0275,25.145,22.734304,133912000
8/22/2014,25.0725,25.3675,25.047501,25.33,22.901569,176736000
8/25/2014,25.4475,25.5425,25.32,25.385,22.951302,161080000
8/26/2014,25.355,25.375,25.215,25.2225,22.804375,132608000
8/27/2014,25.254999,25.6425,25.174999,25.532499,23.08465,209476000
8/28/2014,25.397499,25.695,25.389999,25.5625,23.111784,273840000
8/29/2014,25.715,25.725,25.549999,25.625,23.168289,178380000
9/2/2014,25.764999,25.934999,25.68,25.825001,23.349112,214256000
9/3/2014,25.775,25.799999,24.645,24.735001,22.363607,501684000
9/4/2014,24.7125,25.022499,24.4475,24.530001,22.178268,342872000
9/5/2014,24.700001,24.8475,24.577499,24.7425,22.370398,233828000
9/8/2014,24.825001,24.827499,24.512501,24.59,22.23251,185426800
9/9/2014,24.77,25.77,24.035,24.497499,22.148888,759385200
9/10/2014,24.502501,25.2775,24.440001,25.25,22.829239,403478400
9/11/2014,25.102501,25.360001,24.905001,25.3575,22.926432,249412400
9/12/2014,25.3025,25.547501,25.27,25.415001,22.978426,250504400
9/15/2014,25.702499,25.762501,25.360001,25.407499,22.971636,245266000
9/16/2014,24.950001,25.315001,24.7225,25.215,22.797596,267632400
9/17/2014,25.317499,25.450001,25.147499,25.395,22.960335,243706000
9/18/2014,25.4825,25.5875,25.389999,25.4475,23.007807,149197600
9/19/2014,25.5725,25.5875,25.125,25.24,22.8202,283609600
9/22/2014,25.450001,25.535,25.145,25.264999,22.842804,211153600
9/23/2014,25.15,25.735001,25.135,25.66,23.199932,253608800
9/24/2014,25.540001,25.7125,25.299999,25.4375,22.998766,240687200
9/25/2014,25.127501,25.1775,24.43,24.467501,22.121767,400368000
9/26/2014,24.6325,25.1875,24.6,25.1875,22.77273,249482000
9/29/2014,24.6625,25.110001,24.657499,25.0275,22.628071,199065200
9/30/2014,25.202499,25.385,25.1325,25.1875,22.77273,221056400
10/1/2014,25.147499,25.172501,24.674999,24.795,22.417862,205965200
10/2/2014,24.817499,25.055,24.51,24.975,22.580605,191031200
10/3/2014,24.860001,25.0525,24.76,24.905001,22.517311,173878400
10/6/2014,24.987499,25.1625,24.855,24.905001,22.517311,148204800
10/7/2014,24.8575,25.030001,24.682501,24.6875,22.320663,168376800
10/8/2014,24.690001,25.2775,24.577499,25.200001,22.784031,229618800
10/9/2014,25.385,25.594999,25.1525,25.254999,22.833757,309506000
10/10/2014,25.172501,25.5075,25.075001,25.182501,22.768208,265326400
10/13/2014,25.3325,25.445,24.952499,24.952499,22.560261,214333600
10/14/2014,25.0975,25.129999,24.6425,24.6875,22.320663,254754400
10/15/2014,24.4925,24.7875,23.795,24.385,22.047163,403734400
10/16/2014,23.887501,24.43,23.852501,24.065001,21.757851,288618000
10/17/2014,24.375,24.75,24.202499,24.4175,22.076557,272718800
10/20/2014,24.58,24.99,24.555,24.940001,22.548958,310069200
10/21/2014,25.754999,25.754999,25.317499,25.6175,23.161505,378495600
10/22/2014,25.709999,26.0275,25.65,25.747499,23.279045,273052400
10/23/2014,26.02,26.262501,25.907499,26.2075,23.694935,284298800
10/24/2014,26.295,26.372499,26.1325,26.305,23.783096,188215600
10/27/2014,26.2125,26.370001,26.174999,26.2775,23.758228,136750800
10/28/2014,26.35,26.684999,26.3375,26.684999,24.126661,192243600
10/29/2014,26.6625,26.842501,26.59,26.834999,24.26228,210751600
10/30/2014,26.74,26.8375,26.475,26.745001,24.180908,162619200
10/31/2014,27.002501,27.01,26.8025,27,24.411461,178557200
11/3/2014,27.055,27.575001,27.002501,27.35,24.727909,209130400
11/4/2014,27.34,27.372499,26.93,27.15,24.547081,166297600
11/5/2014,27.275,27.325001,27.032499,27.215,24.605852,149743600
11/6/2014,27.15,27.1975,26.950001,27.174999,24.676222,139874000
11/7/2014,27.1875,27.33,27.137501,27.252501,24.746599,134766000
11/10/2014,27.254999,27.3325,27.1675,27.2075,24.705734,108782000
11/11/2014,27.174999,27.4375,27.1,27.424999,24.903233,109769200
11/12/2014,27.344999,27.8575,27.342501,27.8125,25.25511,187769600
11/13/2014,27.950001,28.362499,27.9,28.205,25.611517,238091600
11/14/2014,28.2875,28.547501,27.8025,28.545,25.92025,176254400
11/17/2014,28.567499,29.32,28.325001,28.497499,25.877115,186986800
11/18/2014,28.485001,28.922501,28.4725,28.8675,26.213097,176896000
11/19/2014,28.860001,28.934999,28.450001,28.6675,26.031487,167476800
11/20/2014,28.727501,29.215,28.7125,29.077499,26.403788,173582000
11/21/2014,29.377501,29.3925,29.0075,29.1175,26.440109,228717200
11/24/2014,29.2125,29.692499,29.155001,29.657499,26.930452,189803200
11/25/2014,29.7675,29.9375,29.362499,29.4,26.696634,275361600
11/26/2014,29.485001,29.775,29.4575,29.75,27.014446,163073200
11/28/2014,29.817499,29.85,29.512501,29.7325,26.998556,99257600
12/1/2014,29.702499,29.8125,27.817499,28.7675,26.122288,335256000
12/2/2014,28.375,28.9375,28.1875,28.657499,26.022408,237395600
12/3/2014,28.9375,29.0875,28.7775,28.9825,26.317518,172253600
12/4/2014,28.942499,29.299999,28.8225,28.872499,26.21764,168178000
12/5/2014,28.997499,29.02,28.66,28.75,26.1064,153275600
12/8/2014,28.525,28.6625,27.905001,28.1,25.516169,230659600
12/9/2014,27.547501,28.575001,27.3375,28.530001,25.906631,240832000
12/10/2014,28.602501,28.7125,27.885,27.987499,25.414015,178261200
12/11/2014,28.065001,28.450001,27.834999,27.905001,25.339096,165606800
12/12/2014,27.615,27.967501,27.395,27.432501,24.910049,224112400
12/15/2014,27.674999,27.9,26.5875,27.057501,24.569529,268872400
12/16/2014,26.592501,27.540001,26.565001,26.6875,24.233551,243162800
12/17/2014,26.780001,27.459999,26.705,27.352501,24.837404,213647200
12/18/2014,27.967501,28.1625,27.665001,28.1625,25.572922,236024800
12/19/2014,28.065001,28.309999,27.915001,27.945,25.375418,353719200
12/22/2014,28.040001,28.372499,27.9925,28.235001,25.638754,180670000
12/23/2014,28.307501,28.3325,28.115,28.135,25.547955,104113600
12/24/2014,28.145,28.1775,28.002501,28.002501,25.427635,57918400
12/26/2014,28.025,28.629999,28.002501,28.497499,25.877115,134884000
12/29/2014,28.4475,28.692499,28.424999,28.477501,25.858952,110395600
12/30/2014,28.41,28.48,28.0275,28.129999,25.543413,119526000
12/31/2014,28.205,28.282499,27.5525,27.594999,25.057606,165613600
1/2/2015,27.8475,27.860001,26.8375,27.3325,24.819241,212818400
1/5/2015,27.0725,27.1625,26.352501,26.5625,24.120045,257142000
1/6/2015,26.635,26.8575,26.157499,26.565001,24.12232,263188400
1/7/2015,26.799999,27.049999,26.674999,26.9375,24.460564,160423600
1/8/2015,27.307501,28.0375,27.174999,27.9725,25.400398,237458000
1/9/2015,28.1675,28.3125,27.5525,28.002501,25.427635,214798000
1/12/2015,28.15,28.157499,27.200001,27.3125,24.801083,198603200
1/13/2015,27.8575,28.200001,27.227501,27.555,25.021282,268367600
1/14/2015,27.26,27.622499,27.125,27.450001,24.925943,195826400
1/15/2015,27.5,27.514999,26.665001,26.705,24.249435,240056000
1/16/2015,26.7575,26.895,26.299999,26.497499,24.061016,314053200
1/20/2015,26.959999,27.2425,26.625,27.18,24.680767,199599600
1/21/2015,27.237499,27.764999,27.067499,27.387501,24.869184,194303600
1/22/2015,27.565001,28.1175,27.43,28.1,25.516169,215185600
1/23/2015,28.075001,28.4375,27.8825,28.245001,25.647839,185859200
1/26/2015,28.434999,28.59,28.200001,28.275,25.675077,222460000
1/27/2015,28.105,28.120001,27.2575,27.285,24.776114,382274800
1/28/2015,29.407499,29.530001,28.827499,28.827499,26.176777,585908400
1/29/2015,29.08,29.797501,28.889999,29.725,26.991747,337745600
1/30/2015,29.6,30,29.2125,29.290001,26.59675,334982000
2/2/2015,29.512501,29.7925,29.02,29.657499,26.930452,250956400
2/3/2015,29.625,29.772499,29.4025,29.6625,26.934996,207662800
2/4/2015,29.625,30.127501,29.577499,29.889999,27.141579,280598800
2/5/2015,30.004999,30.057501,29.8125,29.985001,27.335304,168984800
2/6/2015,30.004999,30.0625,29.612499,29.7325,27.105112,174826400
2/9/2015,29.637501,29.959999,29.6075,29.93,27.28516,155559200
2/10/2015,30.0425,30.5375,30.040001,30.504999,27.809347,248034000
2/11/2015,30.692499,31.23,30.625,31.219999,28.461166,294247200
2/12/2015,31.514999,31.870001,31.3925,31.615,28.821255,297898000
